countryData,subregion,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020,max_2021,max_2022,max_2023
Rwanda,Eastern Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Samoa,Polynesia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,Southern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Tomé and Principe,Middle Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Western Asia,3,3,3,3,3,4,4,5,4,4,4,5,5,4,6,4,4,5,13,7
Senegal,Western Africa,1,1,1,1,1,1,1,0,1,0,1,1,1,1,3,1,1,1,2,1
Sierra Leone,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,Eastern Europe,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1
Slovenia,Southern Europe,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
Solomon Islands,Melanesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,Eastern Africa,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Somaliland,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Southern Africa,5,5,4,4,4,4,19,5,4,5,5,5,5,5,7,4,5,5,5,10
South Korea,Eastern Asia,2,2,2,1,1,1,3,2,2,3,4,2,4,5,6,6,6,5,10,6
South Sudan,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Southern Europe,24,18,18,15,15,12,17,12,14,11,14,10,11,11,20,13,19,18,17,14
Sri Lanka,Southern Asia,3,3,1,1,1,2,2,2,2,2,3,3,3,4,3,7,3,3,6,6
Sudan,Northern Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
Suriname,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,Northern Europe,6,5,6,4,4,4,4,3,4,3,3,4,4,4,9,3,5,5,4,5
Switzerland,Western Europe,10,9,9,8,8,7,8,7,6,6,6,6,6,6,9,6,7,9,6,6
Syria,Western Asia,1,1,1,1,1,2,2,3,3,8,2,7,4,7,8,3,2,2,2,4
Taiwan,Eastern Asia,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,5,4
Tajikistan,Central Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,South-Eastern Asia,11,10,8,7,7,8,8,9,9,10,10,10,12,12,14,11,10,10,11,12
The Bahamas,Caribbean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
Togo,Western Africa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,Caribbean,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
Tunisia,Northern Africa,2,2,3,2,2,2,3,5,2,2,2,4,2,2,4,2,2,2,4,2
Turkey,Western Asia,8,9,9,9,13,9,10,9,8,9,9,10,16,8,12,11,11,12,13,24
Turkmenistan,Central Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Uganda,Eastern Africa,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Ukraine,Eastern Europe,3,2,3,3,3,5,5,5,6,6,15,9,6,7,7,7,7,7,80,14
United Arab Emirates,Western Asia,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,3,3,4,4
United Kingdom,Northern Europe,72,57,49,44,44,43,46,32,32,30,30,29,32,32,27,27,37,32,32,29
United Republic of Tanzania,Eastern Africa,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
United States of America,Northern America,63,53,46,41,43,37,36,33,35,31,34,32,52,35,37,38,100,37,40,36
Uruguay,South America,1,1,1,1,1,2,5,3,2,2,5,2,2,2,6,3,2,2,3,2
Uzbekistan,Central Asia,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Vanuatu,Melanesia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Venezuela,South America,5,5,5,5,5,4,5,4,4,4,5,3,4,4,4,6,3,3,4,4
Vietnam,South-Eastern Asia,5,5,4,4,5,9,9,11,9,8,9,8,8,8,11,11,9,11,10,9
Western Sahara,Northern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Western Asia,0,0,0,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1
Zambia,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Zimbabwe,Eastern Africa,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,1,1,0,1,1
